"OBJECTID","PIN","PARCELNB","TOWNSHIP","SECTION_","BLOCK","PARCEL","SHAPE_STAr","SHAPE_STLe","Acres"
106394,"172101004029","0172101004029","1721","010","04","029",110367.32959000000,1378.66446751000,103
106395,"172101001001","0172101001001","1721","010","01","001",109118.12793000000,1327.17623464000,101
106396,"172101001002","0172101001002","1721","010","01","002",108844.63574200000,1335.36149102000,101
106397,"172101002002","0172101002002","1721","010","02","002",108854.54638700000,1325.72326291000,101
106398,"172101002004","0172101002004","1721","010","02","004",110775.93847700000,1315.57880657000,103
106399,"172101002003","0172101002003","1721","010","02","003",111046.38574200000,1315.95343972000,103
106400,"172101002001","0172101002001","1721","010","02","001",108854.88183600000,1325.72528518000,101
106401,"172101001011","0172101001011","1721","010","01","011",93335.18554690000,1261.42078810000,87
106402,"172101001009","0172101001009","1721","010","01","009",108953.38134800000,1336.71431676000,101
106403,"172101001012","0172101001012","1721","010","01","012",100887.96386700000,1299.53810147000,94
106404,"172101001010","0172101001010","1721","010","01","010",109794.03125000000,1331.66720138000,102
106405,"172101003015","0172101003015","1721","010","03","015",135707.02929700000,1700.08408792000,126
106406,"172101003012","0172101003012","1721","010","03","012",96149.37695310000,1306.25349717000,89
106407,"172101003005","0172101003005","1721","010","03","005",106294.59228500000,1426.45535405000,99
106408,"172101003004","0172101003004","1721","010","03","004",98797.50341800000,1262.68925047000,92
106409,"172101003003","0172101003003","1721","010","03","003",93078.06054690000,1221.81963414000,86
106410,"172101000013","0172101000013","1721","010","00","013",213430.80468800000,1954.35269305000,198
106412,"172101101001","0172101101001","1721","011","01","001",867170.20214800000,3811.33646127000,806
106413,"172101004026","0172101004026","1721","010","04","026",105715.79394500000,1625.54889473000,98
106414,"172101003001","0172101003001","1721","010","03","001",91751.44775390000,1254.51036159000,85
106415,"172101000031","0172101000031","1721","010","00","031",156340.27978500000,2256.38847392000,145
106416,"172101000030","0172101000030","1721","010","00","030",149894.84179700000,1663.10220587000,139
106417,"172101000020","0172101000020","1721","010","00","020",1455898.33545000000,6971.36957457000,1353
106418,"172101000012","0172101000012","1721","010","00","012",323603.71630900000,2493.79022377000,301
106420,"172101301005","0172101301005","1721","013","01","005",367858.44433600000,2635.69483521000,342
106421,"172101000009","0172101000009","1721","010","00","009",430156.20849600000,2622.86129149000,400
106423,"172101005003","0172101005003","1721","010","05","003",125605.79687500000,1653.26067822000,117
106425,"172101000018","0172101000018","1721","010","00","018",46642.04833980000,911.01690493000,43
106427,"172101000017","0172101000017","1721","010","00","017",147824.19775400000,1573.24570459000,137
106680,"172102309001","0172102309001","1721","023","09","001",112347.17187500000,1451.91667390000,104
106773,"172102322135","0172102322135","1721","023","22","135",53299.98291020000,3867.59667905000,50
106774,"172102318029","0172102318029","1721","023","18","029",41227.90576170000,3291.28480398000,38
106825,"172102318030","0172102318030","1721","023","18","030",59745.16308590000,1056.65286617000,56
106921,"172102001001","0172102001001","1721","020","01","001",837201.21679700000,4065.21955303000,778
106957,"172102121040","0172102121040","1721","021","21","040",50912.81542970000,1600.11712099000,47
107077,"172102113072","0172102113072","1721","021","13","072",38101.03808590000,1554.40337069000,35
107134,"172102012030","0172102012030","1721","020","12","030",41663.86767580000,2247.10464524000,39
107138,"172102000020","0172102000020","1721","020","00","020",77160.44140630000,1114.39043042000,72
107140,"172102201010","0172102201010","1721","022","01","010",39504.64257810000,3065.64862532000,37
107145,"172102322131","0172102322131","1721","023","22","131",550303.81298800000,7569.17558006000,511
107146,"172102322132","0172102322132","1721","023","22","132",139111.49902300000,1717.47995239000,129
107215,"172102407002","0172102407002","1721","024","07","002",47124.91943360000,852.84675609800,44
107216,"172102407001","0172102407001","1721","024","07","001",47788.58837890000,875.54419252300,44
107217,"172102118001","0172102118001","1721","021","18","001",47470.57666020000,865.84375228100,44
107295,"172102410027","0172102410027","1721","024","10","027",46504.18066410000,863.70892535000,43
107296,"172102410026","0172102410026","1721","024","10","026",43730.43847660000,839.14318939500,41
107297,"172102410025","0172102410025","1721","024","10","025",43584.30615230000,876.07601426700,40
107299,"172102410028","0172102410028","1721","024","10","028",50268.42089840000,904.21528904900,47
107300,"172102410031","0172102410031","1721","024","10","031",43984.33300780000,842.38540800500,41
107301,"172102410032","0172102410032","1721","024","10","032",44291.11914060000,825.46318749000,41
107302,"172102410029","0172102410029","1721","024","10","029",49322.78173830000,934.63021413300,46
107303,"172102410030","0172102410030","1721","024","10","030",45194.37890630000,883.30841274600,42
107305,"172102410035","0172102410035","1721","024","10","035",56479.07177730000,4861.06949650000,52
107548,"172102113039","0172102113039","1721","021","13","039",106190.38964800000,1628.59195212000,99
107634,"172102117002","0172102117002","1721","021","17","002",51827.76757810000,914.13941703700,48
107635,"172102117001","0172102117001","1721","021","17","001",53420.74121090000,919.41454103100,50
107636,"172102117003","0172102117003","1721","021","17","003",51704.85986330000,904.54252321800,48
107638,"172102100001","0172102100001","1721","021","00","001",43568.20654300000,834.88500801400,40
107674,"172102403009","0172102403009","1721","024","03","009",86801.81494140000,1353.12665676000,81
107689,"172102200002","0172102200002","1721","022","00","002",562354.57617200000,4189.23416124000,522
107696,"172102012029","0172102012029","1721","020","12","029",1996919.23584000000,10677.33704100000,1855
107699,"172102000024","0172102000024","1721","020","00","024",114567.04052700000,1374.85940993000,106
107701,"172102002006","0172102002006","1721","020","02","006",438298.03955100000,3365.50406160000,407
107760,"172102412024","0172102412024","1721","024","12","024",281046.94335900000,2352.93859697000,261
107761,"172102412025","0172102412025","1721","024","12","025",606284.53320300000,4392.32540453000,563
107780,"172102121039","0172102121039","1721","021","21","039",38361.14160160000,1477.20155741000,36
107784,"172102121038","0172102121038","1721","021","21","038",277524.39209000000,4853.41615396000,258
107785,"172103302018","0172103302018","1721","033","02","018",387439.00048800000,3020.96750337000,360
107786,"172103000049","0172103000049","1721","030","00","049",63129.15283200000,1269.54403842000,59
107918,"172103404001","0172103404001","1721","034","04","001",45735.25488280000,839.10336822600,42
108039,"172103302019","0172103302019","1721","033","02","019",88550.86083980000,2986.07854665000,82
108040,"172103302021","0172103302021","1721","033","02","021",153368.24267600000,1885.14761853000,142
108211,"172103302020","0172103302020","1721","033","02","020",55656.89013670000,1978.76596631000,52
108212,"172103302015","0172103302015","1721","033","02","015",166660.97070300000,1994.52796791000,155
108213,"172103401063","0172103401063","1721","034","01","063",6742352.52588000000,13139.80743360000,6264
108218,"172103100002","0172103100002","1721","031","00","002",279400.67187500000,2594.39409324000,260
108221,"172103100004","0172103100004","1721","031","00","004",608487.36621100000,3208.37159890000,565
108222,"172103401066","0172103401066","1721","034","01","066",65227.94287110000,1469.34759635000,61
108224,"172103006001","0172103006001","1721","030","06","001",156912.33105500000,1701.84692325000,146
108226,"172103103007","0172103103007","1721","031","03","007",2549612.22852000000,7446.94645899000,2369
108227,"172104101001","0172104101001","1721","041","01","001",395150.78759800000,3981.28197027000,367
108228,"172103000013","0172103000013","1721","030","00","013",607909.59619100000,3711.71591944000,565
108229,"172103000053","0172103000053","1721","030","00","053",474703.95361300000,3313.72509097000,441
108232,"172103201009","0172103201009","1721","032","01","009",434311.01416000000,2725.61781236000,403
108233,"172103201005","0172103201005","1721","032","01","005",39377.19384770000,848.16800080200,37
108234,"172103000051","0172103000051","1721","030","00","051",258641.64550800000,2129.70643745000,240
108237,"172103000016","0172103000016","1721","030","00","016",436424.42334000000,3114.76205013000,405
108240,"172103000045","0172103000045","1721","030","00","045",434791.13720700000,2988.08418592000,404
108241,"172103003001","0172103003001","1721","030","03","001",5258285.64209000000,10588.61733610000,4885
108243,"172103003002","0172103003002","1721","030","03","002",226166.76123000000,2489.26782694000,210
108244,"172103306001","0172103306001","1721","033","06","001",44908.27099610000,1266.37247035000,42
108245,"172103306002","0172103306002","1721","033","06","002",41157.17138670000,879.66102075900,38
108246,"172103201012","0172103201012","1721","032","01","012",62820.31787110000,1241.83996475000,58
108247,"172103201011","0172103201011","1721","032","01","011",47081.45996090000,1310.85538686000,44
108248,"172103201010","0172103201010","1721","032","01","010",151551.32080100000,2337.23950986000,141
108271,"172103301001","0172103301001","1721","033","01","001",5258285.64209000000,10588.61733610000,4885
108273,"172104300001","0172104300001","1721","043","00","001",3449010.03027000000,8426.94915976000,3204
108276,"172104200002","0172104200002","1721","042","00","002",105923.02929700000,1520.77491338000,98
108277,"172104200001","0172104200001","1721","042","00","001",104498.67675800000,1505.50064537000,97
108278,"172104000011","0172104000011","1721","040","00","011",630331.67285200000,3249.74814667000,586
108281,"172104000016","0172104000016","1721","040","00","016",834842.91796900000,3909.42565146000,776
108282,"172104000017","0172104000017","1721","040","00","017",42411.70800780000,2713.15746352000,39
108283,"172104000018","0172104000018","1721","040","00","018",883135.07080100000,3989.48969788000,820
108284,"172104000003","0172104000003","1721","040","00","003",48180.56640630000,1484.51791040000,45
108285,"172104000027","0172104000027","1721","040","00","027",399841.54736300000,2582.09743920000,371
108288,"172104100003","0172104100003","1721","041","00","003",874419.12744100000,6762.41698766000,812
108289,"172104100002","0172104100002","1721","041","00","002",116704.74462900000,2743.34339133000,108
108290,"172104100001","0172104100001","1721","041","00","001",154575.82519500000,2597.81459399000,144
108292,"172104000030","0172104000030","1721","040","00","030",505161.59082000000,4285.25512864000,469
108293,"172104102001","0172104102001","1721","041","02","001",471287.86914100000,3262.98879255000,438
108294,"172104000002","0172104000002","1721","040","00","002",4268808.91895000000,14317.60317340000,3966
108340,"172105214001","0172105214001","1721","052","14","001",75443.18359380000,1152.63911588000,70
108344,"172105214002","0172105214002","1721","052","14","002",76458.34375000000,1159.67009562000,71
108355,"172105214003","0172105214003","1721","052","14","003",78066.37500000000,1168.67072172000,73
108369,"172105214004","0172105214004","1721","052","14","004",69884.82519530000,1159.55457474000,65
108403,"172105000026","0172105000026","1721","050","00","026",49231.08251950000,1177.73387766000,46
108404,"172105200003","0172105200003","1721","052","00","003",37812.47460940000,845.44729145200,35
108407,"172105203003","0172105203003","1721","052","03","003",83843.69873050000,1230.58024828000,78
108417,"172105005002","0172105005002","1721","050","05","002",73147.76806640000,1142.57615249000,68
